id,filename,citation
35,http:##www.cis.ohio-state.edu#lair#TechReports#93-pa-ep93.ps,"[Go] <author> D. Goldberg. </author> <title> Genetic Algorithms in Search, Optimization and Machine Learning. </title> <address> Menlo Park, </address> <publisher> Wiley and Sons, </publisher> <year> 1989. </year>"
35,http:##www.cs.purdue.edu#coast#archive#clife#GA#docs#tcga91-2.ps.gz,"[Go] <author> D. Goldberg. </author> <title> Genetic Algorithms in Search, Optimization and Machine Learning. </title> <address> Menlo Park, </address> <publisher> Wiley and Sons, </publisher> <year> 1989. </year>"
40,http:##www.bioele.nuee.nagoya-u.ac.jp#wec#papers#files#lee.ps.gz,"[5] <author> Michael A. Lee and Hideyuki Takagi. </author> <title> Dynamic control of genetic algorithms using fuzzy logic techniques. </title> <booktitle> In 5th Int\'l Conference on Genetic Algorithms (ICGA\'93), </booktitle> <year> 1993. </year> <month> 5 </month>"
51,ftp:##ftp.cs.cmu.edu#project#mach#doc#unpublished#sched.concur.ps,"[Black, 1990] <author> D. L. Black, </author> <title> ""Scheduling Support for Concurrency and Parallelism in the Mach Operating System,"" </title> <journal> IEEE Computer, </journal> <volume> 23(5) </volume> <pages> 35-43, </pages> <month> May </month> <year> 1990. </year>"
54,http:##www.cs.washington.edu#homes#karlin#papers#spinlock.ps,"[Karlin et al. 91] <author> Karlin, A. R., Li, K., Manasse, M., and Owicki, S. </author> <title> Empirical Studies of Competitive Spinning for Shared Memory Multiprocessors. </title> <booktitle> In Proceedings of the Thirteenth ACM Symposium on Operating Systems Principles, </booktitle> <year> 1991. </year>"
56,ftp:##ftp.cs.toronto.edu#pub#parallel#Krieger_etal_ICPP93.ps.Z,"[8] <author> O. Krieger, M. Stumm, and R. Unrau. </author> <title> A Fair Fast Scalable Reader-Writer Lock. </title> <booktitle> In Proceedings of the 1993 International Conference on Parallel Processing, </booktitle> <address> St. Charles, IL, </address> <month> August </month> <year> 1993. </year>"
59,ftp:##ftp.cs.rochester.edu#pub#papers#systems#91.SOSP.Psyche_First_Class_Threads.ps.Z,"[Marsh et al. 91] <author> Marsh, B., Scott, M., LeBlanc, T., and Markatos, E. </author> <title> First-Class User-Level Threads. </title> <booktitle> In Proceedings of the Thirteenth ACM Symposium on Operating Systems Principles,pages 110-121,Pacific Grove, </booktitle> <address> CA, </address> <month> October </month> <year> 1991. </year>"
59,http:##www.cc.gatech.edu#fac#Mustaque.Ahamad#courses#papers#Psyche_First_Class_Threads.ps.gz,"[Marsh et al. 91] <author> Marsh, B., Scott, M., LeBlanc, T., and Markatos, E. </author> <title> First-Class User-Level Threads. </title> <booktitle> In Proceedings of the Thirteenth ACM Symposium on Operating Systems Principles,pages 110-121,Pacific Grove, </booktitle> <address> CA, </address> <month> October </month> <year> 1991. </year>"
60,ftp:##ftp.cs.rochester.edu#pub#papers#systems#91.TOCS.Scalable_Synch.ps.Z,"[Mellor-Crummey and Scott, 1991] <author> John M. Mellor-Crummey and Michael L. Scott. </author> <title> Algorithms for scal able synchronization on shared-memory multiprocessors. </title> <journal> ACM Trans. Comput. Syst. </journal> <volume> 9, </volume> <month> 1 (Feb. </month> <year> 1991), </year> <pages> 21-65. </pages>"
60,http:##www.cc.gatech.edu#fac#Mustaque.Ahamad#courses#papers#91.TOCS.Scalable_Sync.ps.gz,"[Mellor-Crummey and Scott, 1991] <author> John M. Mellor-Crummey and Michael L. Scott. </author> <title> Algorithms for scal able synchronization on shared-memory multiprocessors. </title> <journal> ACM Trans. Comput. Syst. </journal> <volume> 9, </volume> <month> 1 (Feb. </month> <year> 1991), </year> <pages> 21-65. </pages>"
62,ftp:##ftp.cs.rochester.edu#pub#papers#systems#93.tr454.scalable_spin_locks.ps.Z,"[WKS94] <author> R. Wisniewski, L. Kontothanassis, and M. Scott. </author> <title> Scalable spin locks for multiprogrammed systems. </title> <booktitle> In Proceedings of the Eighth International Parallel Processing Symposium, </booktitle> <pages> pages 583-589, </pages> <month> April </month> <year> 1994. </year>"
65,ftp:##ftp.cag.lcs.mit.edu#pub#papers#mitalewife.ps.Z,"[Agarwal91] <author> Anant Agarwal, David Chaiken, Godfrey D\'Souza, Kirk John-son, David Kranz, John Kubiatowicz, Kiyoshi Kurihara, Beng-Hong Lim, Gino Maa, Dan Nussbaum, Mike Parkin, and Donald Yeung. </author> <title> The MIT Alewife machine: A large-scale distributed-memory processor. </title> <type> Technical Report MIT/LCS Memo TM-454, </type> <institution> MIT, </institution> <year> 1991. </year>"
80,ftp:##ftp.cs.uoregon.edu#pub#lo#oregami.ps.Z,"[LRea90] <author> Virginia M. Lo, Sanjay Rajopadhye, and et. al. Oregami: </author> <title> Software tools for mapping parallel computations to parallel architectures. </title> <type> Technical Report CIS-TR-89-18, </type> <institution> Dept. Of Computer Scienve, University of Oregon, Eugene, Oregon 97403-1202, </institution> <year> 1990. </year>"
91,ftp:##ftp.cs.arizona.edu#xkernel#Papers#pathfinder.ps,"[BGS + 94] <author> M. L. Bailey, B. Gopal, P. Sarkar, M. A. Pagels, and L. L. Peterson. Pathfinder: </author> <title> A pattern-based packet classifier. </title> <booktitle> In Proceedings of the 1 st Symposium on Operating System Design and Implementation. USENIX, </booktitle> <month> November </month> <year> 1994. </year>"
91,http:##www.cs.berkeley.edu#~alanm#CP#bailey.osdi1.94.ps,"[BGS + 94] <author> M. L. Bailey, B. Gopal, P. Sarkar, M. A. Pagels, and L. L. Peterson. Pathfinder: </author> <title> A pattern-based packet classifier. </title> <booktitle> In Proceedings of the 1 st Symposium on Operating System Design and Implementation. USENIX, </booktitle> <month> November </month> <year> 1994. </year>"
95,ftp:##cag.lcs.mit.edu#pub#dm#papers#engler:exokernel.ps.gz,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##arch.cs.ucdavis.edu#~chong#250C#os#exokernel-sosp95.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##elysium.cs.ucdavis.edu#~nico#seminar#papers#exokernel-sosp95.ps.gz,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##fmg-www.cs.ucla.edu#classes#239_2.fall98#papers#SOSP95#exokernel.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##www.cag.lcs.mit.edu#multiscale#exokernel.ps.Z,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##www.cc.gatech.edu#fac#Mustaque.Ahamad#courses#papers#exokernel.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##www.cs.rutgers.edu#~rodemann#519#reading-list#Exokernel.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##www.pdos.lcs.mit.edu#papers#exokernel-sosp95.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##www.pdos.lcs.mit.edu#~engler#sosp-95.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
95,http:##www.psrg.lcs.mit.edu#~james#drafts#exokernel-sosp95.ps,"[engler:exokernel] <author> Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel: </author> <title> An operating system architecture for application-level resource management. </title> <booktitle> In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995. </booktitle>"
100,http:##www.cs.ucsd.edu#users#pasquale#Papers#sigcomm93.ps,"[Kay93] <author> J. Kay and J. Pasquale. </author> <title> The Importance of Non-Data Touching Processing Overheads in TCP/IP. </title> <booktitle> In Proc. of SIGCOMM93, </booktitle> <pages> pages 259268, </pages> <year> 1993. </year>"
101,ftp:##ftp.cs.columbia.edu#reports#reports-1992#cucs-039-92.ps.gz,"[Massalin92] <author> Henry Massalin. </author> <title> Synthesis: An Efficeint Implementation of Fundamental Operating System Services, </title> <type> Ph.D. Thesis, </type> <institution> Columbia University 1992. </institution>"
101,http:##http.cs.berkeley.edu#~asah#papers#other#printed#massalin_diss.ps.gz,"[Massalin92] <author> Henry Massalin. </author> <title> Synthesis: An Efficeint Implementation of Fundamental Operating System Services, </title> <type> Ph.D. Thesis, </type> <institution> Columbia University 1992. </institution>"
101,http:##www.cs.ucsb.edu#Courses#cs270a#synthesis.ps,"[Massalin92] <author> Henry Massalin. </author> <title> Synthesis: An Efficeint Implementation of Fundamental Operating System Services, </title> <type> Ph.D. Thesis, </type> <institution> Columbia University 1992. </institution>"
103,ftp:##ftp.ee.lbl.gov#papers#bpf-usenix93.ps.Z,"[mccaine:packet] <author> Steven McCanne and Van Jacobsen. </author> <title> The BSD Packet Filter: A New Architecture for User-Level Packet Capture. </title> <booktitle> In Proceedings of the 1993 Winter USENIX Conference , January 1993. </booktitle>"
103,http:##daedalus.cs.berkeley.edu#publications#winet.ps.gz,"[mccaine:packet] <author> Steven McCanne and Van Jacobsen. </author> <title> The BSD Packet Filter: A New Architecture for User-Level Packet Capture. </title> <booktitle> In Proceedings of the 1993 Winter USENIX Conference , January 1993. </booktitle>"
103,http:##http.cs.berkeley.edu#~hari#papers#winet.ps,"[mccaine:packet] <author> Steven McCanne and Van Jacobsen. </author> <title> The BSD Packet Filter: A New Architecture for User-Level Packet Capture. </title> <booktitle> In Proceedings of the 1993 Winter USENIX Conference , January 1993. </booktitle>"
106,ftp:##ftp.cs.arizona.edu#xkernel#Papers#usc.ps,"[O\'Malley94] <author> S. O\'Malley, T. Proebstring, and A. Montz. </author> <title> USC: A Universal Stub Compiler. </title> <journal> In Computer Communication Review, </journal> <volume> volume 24, </volume> <pages> pages 295-306. </pages> <publisher> ACM SIGCOMM, </publisher> <month> September </month> <year> 1994. </year> <title> (p 106) </title>"
107,http:##www.cs.clemson.edu#~malloy#papers#scheduling#complexj95.ps,"[Pettis & Hansen 90] <author> Pettis, K. and Hansen, R. C. </author> <title> Profile guided code positioning. </title> <booktitle> In Proceedings of the ACM SIGPLAN \'90 Conference on Programming Language Design and Implementation (SIGPLAN \'90), </booktitle> <pages> pages 1627, </pages> <month> June </month> <year> 1990. </year>"
107,http:##www.cs.washington.edu#homes#dlee#frontpage#mypapers#pfinal.ps,"[Pettis & Hansen 90] <author> Pettis, K. and Hansen, R. C. </author> <title> Profile guided code positioning. </title> <booktitle> In Proceedings of the ACM SIGPLAN \'90 Conference on Programming Language Design and Implementation (SIGPLAN \'90), </booktitle> <pages> pages 1627, </pages> <month> June </month> <year> 1990. </year>"
107,http:##www.cs.washington.edu#homes#dlee#mypapers#pfinal.ps,"[Pettis & Hansen 90] <author> Pettis, K. and Hansen, R. C. </author> <title> Profile guided code positioning. </title> <booktitle> In Proceedings of the ACM SIGPLAN \'90 Conference on Programming Language Design and Implementation (SIGPLAN \'90), </booktitle> <pages> pages 1627, </pages> <month> June </month> <year> 1990. </year>"
114,ftp:##ftp.cs.colorado.edu#users#baveja#Papers#realtime-dp.ps.gz,"[Barto93] <author> Barto, A.G., Bradtke, S.J., Singh, S.P., </author> <year> 1993. </year> <title> Learning to Act using Real- Time Dynamic Programming. </title> <institution> Dept. of Computer Science Technical Report 93-02. University of Massachusetts, Amherst. </institution>"
114,ftp:##ftp.cs.umass.edu#pub#anw#pub#barto#realtime-dp.ps.Z,"[Barto93] <author> Barto, A.G., Bradtke, S.J., Singh, S.P., </author> <year> 1993. </year> <title> Learning to Act using Real- Time Dynamic Programming. </title> <institution> Dept. of Computer Science Technical Report 93-02. University of Massachusetts, Amherst. </institution>"
114,ftp:##ftp.cs.umass.edu#pub#techrept#techreport#1993#UM-CS-1993-002.ps,"[Barto93] <author> Barto, A.G., Bradtke, S.J., Singh, S.P., </author> <year> 1993. </year> <title> Learning to Act using Real- Time Dynamic Programming. </title> <institution> Dept. of Computer Science Technical Report 93-02. University of Massachusetts, Amherst. </institution>"
114,http:##www-anw.cs.umass.edu#People#singh#Papers#realtime-dp.ps,"[Barto93] <author> Barto, A.G., Bradtke, S.J., Singh, S.P., </author> <year> 1993. </year> <title> Learning to Act using Real- Time Dynamic Programming. </title> <institution> Dept. of Computer Science Technical Report 93-02. University of Massachusetts, Amherst. </institution>"
117,http:##www.cs.duke.edu#~mlittman#docs#gmdp.ps,"[Howard 1960] <author> Howard, R. A. </author> <year> 1960. </year> <title> Dynamic Programming and Markov Processes. </title> <publisher> MIT Press. </publisher>"
128,ftp:##ftp.cs.colorado.edu#users#baveja#Papers#AAAI94.ps.gz,"[Singh 94] <author> Singh, S. P. </author> <title> Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes. </title> <booktitle> In Proceedings of AAAI-94, </booktitle> <publisher> MIT Press, </publisher> <address> Cambridge, MA, </address> <year> 1994. </year>"
128,http:##www-anw.cs.umass.edu#cgi-bin#getfile#pub#anw#pub#singh#singh-AAAI94.ps.Z,"[Singh 94] <author> Singh, S. P. </author> <title> Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes. </title> <booktitle> In Proceedings of AAAI-94, </booktitle> <publisher> MIT Press, </publisher> <address> Cambridge, MA, </address> <year> 1994. </year>"
130,http:##www.cs.orst.edu#~tadepall#research#papers#local-linear-regression.ps,"[42] <author> P. Tadepalli and D. </author> <title> Ok. Scaling up average reward reinforcement learning by approx-imating the domain models and the value function. </title> <booktitle> In Proceedings of International Machine Learning Conference, </booktitle> <year> 1996. </year>"
130,http:##www.cs.orst.edu:80#~tadepall#research#papers#local-linear-regression.ps,"[42] <author> P. Tadepalli and D. </author> <title> Ok. Scaling up average reward reinforcement learning by approx-imating the domain models and the value function. </title> <booktitle> In Proceedings of International Machine Learning Conference, </booktitle> <year> 1996. </year>"
136,ftp:##ftp.cs.umd.edu#pub#papers#papers#1833#1833.ps.Z,"[9] <author> H.D. Block and S.A. Levin. </author> <title> On the boundedness of an iterative procedure for solving a system of linear inequalities. </title> <journal> Proceedings of the American Mathematical Society, </journal> <volume> 26 </volume> <pages> 229-235, </pages> <year> 1970. </year>"
136,ftp:##thales.cs.umd.edu#pub#reports#imsli.ps,"[9] <author> H.D. Block and S.A. Levin. </author> <title> On the boundedness of an iterative procedure for solving a system of linear inequalities. </title> <journal> Proceedings of the American Mathematical Society, </journal> <volume> 26 </volume> <pages> 229-235, </pages> <year> 1970. </year>"
138,http:##www.cs.wustl.edu#cs#techreports#1996#wucs-96-12.ps.Z,"[DPJRC97] <author> Zubin D. Dittia, Guru M. Parulkar, and Jr. Jerome R. Cox. </author> <title> The APIC Approach to High Performance Network Interface Design: Protected DMA and Other Techniques. </title> <booktitle> In Proceedings of INFOCOM \'97, </booktitle> <address> Kobe, Japan, </address> <month> April </month> <year> 1997. </year> <note> IEEE. </note>"
139,http:##www.cs.berkeley.edu#~kubitron#compread#pdos-dpf.ps,"[Eng96] <author> Engler and Kaashoek. DPF: </author> <title> Fast, Flexible MEssage Demultiplexing using Dynamic Code Generation. </title> <type> SIGCOMM \'96. </type> <month> October </month> <year> 1996. </year>"
139,http:##www.pdos.lcs.mit.edu#papers#dpf.ps,"[Eng96] <author> Engler and Kaashoek. DPF: </author> <title> Fast, Flexible MEssage Demultiplexing using Dynamic Code Generation. </title> <type> SIGCOMM \'96. </type> <month> October </month> <year> 1996. </year>"
139,http:##www.pdos.lcs.mit.edu#~engler#dpf-sigcomm96.ps,"[Eng96] <author> Engler and Kaashoek. DPF: </author> <title> Fast, Flexible MEssage Demultiplexing using Dynamic Code Generation. </title> <type> SIGCOMM \'96. </type> <month> October </month> <year> 1996. </year>"
141,http:##www-csag.cs.uiuc.edu#achien#cs491-f97#papers#SIGCOMM-96.ps.gz,"[9] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Measuring the Performance of Communication Middleware on High-Speed Networks. </title> <booktitle> In Proceedings of SIGCOMM \'96, </booktitle> <pages> pages 306317, </pages> <address> Stanford, CA, </address> <month> August </month> <year> 1996. </year> <note> ACM. </note>"
141,http:##www.cs.wustl.edu#~schmidt#SIGCOMM-96.ps.gz,"[9] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Measuring the Performance of Communication Middleware on High-Speed Networks. </title> <booktitle> In Proceedings of SIGCOMM \'96, </booktitle> <pages> pages 306317, </pages> <address> Stanford, CA, </address> <month> August </month> <year> 1996. </year> <note> ACM. </note>"
141,http:##www.tns.lcs.mit.edu#~djw#library#sigcomm96#gokhale.ps.gz,"[9] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Measuring the Performance of Communication Middleware on High-Speed Networks. </title> <booktitle> In Proceedings of SIGCOMM \'96, </booktitle> <pages> pages 306317, </pages> <address> Stanford, CA, </address> <month> August </month> <year> 1996. </year> <note> ACM. </note>"
142,http:##www-csag.cs.uiuc.edu#achien#cs491-f97#papers#ICDCS-97.ps.gz,"[7] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks. </title> <booktitle> In Proceedings of the International Conference on Distributed Computing Systems, </booktitle> <address> Baltimore, Maryland, </address> <month> May </month> <year> 1997. </year> <note> IEEE. </note>"
142,http:##www.cs.wustl.edu#~gokhale#Papers#ieee_tc.ps.gz,"[7] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks. </title> <booktitle> In Proceedings of the International Conference on Distributed Computing Systems, </booktitle> <address> Baltimore, Maryland, </address> <month> May </month> <year> 1997. </year> <note> IEEE. </note>"
142,http:##www.cs.wustl.edu#~schmidt#GLOBECOM-96.ps.gz,"[7] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks. </title> <booktitle> In Proceedings of the International Conference on Distributed Computing Systems, </booktitle> <address> Baltimore, Maryland, </address> <month> May </month> <year> 1997. </year> <note> IEEE. </note>"
142,http:##www.cs.wustl.edu#~schmidt#ICDCS-97.ps.gz,"[7] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks. </title> <booktitle> In Proceedings of the International Conference on Distributed Computing Systems, </booktitle> <address> Baltimore, Maryland, </address> <month> May </month> <year> 1997. </year> <note> IEEE. </note>"
144,http:##www-csag.cs.uiuc.edu#achien#cs491-f97#papers#HICSS-97.ps.gz,"[8] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Principles for Optimizing CORBA Internet Inter-ORB Protocol Performance. </title> <note> In Submitted to the Hawaiian International Conference on System Sciences (Washington University Technical Report #WUCS-97-10), </note> <month> January </month> <year> 1998. </year>"
144,http:##www.cs.wustl.edu#cs#techreports#1997#wucs-97-10.ps.Z,"[8] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Principles for Optimizing CORBA Internet Inter-ORB Protocol Performance. </title> <note> In Submitted to the Hawaiian International Conference on System Sciences (Washington University Technical Report #WUCS-97-10), </note> <month> January </month> <year> 1998. </year>"
144,http:##www.cs.wustl.edu#~schmidt#HICSS-97.ps.gz,"[8] <author> Aniruddha Gokhale and Douglas C. Schmidt. </author> <title> Principles for Optimizing CORBA Internet Inter-ORB Protocol Performance. </title> <note> In Submitted to the Hawaiian International Conference on System Sciences (Washington University Technical Report #WUCS-97-10), </note> <month> January </month> <year> 1998. </year>"
145,http:##geyer.lcs.mit.edu#~jchapin#6853#Papers#corba-oopsla.ps.gz,"[HLS97] <author> Tim Harrison, David Levine, and Douglas C. Schmidt. </author> <title> The Design and Performance of a Real-time CORBA Object Event Service. </title> <booktitle> In Proceedings of OOPSLA \'97, </booktitle> <address> Atlanta, Georgia, </address> <month> October </month> <year> 1997. </year>"
145,http:##www.cs.wustl.edu#cs#techreports#1997#wucs-97-31.ps.gz,"[HLS97] <author> Tim Harrison, David Levine, and Douglas C. Schmidt. </author> <title> The Design and Performance of a Real-time CORBA Object Event Service. </title> <booktitle> In Proceedings of OOPSLA \'97, </booktitle> <address> Atlanta, Georgia, </address> <month> October </month> <year> 1997. </year>"
145,http:##www.cs.wustl.edu#~schmidt#JSAC-98.ps.gz,"[HLS97] <author> Tim Harrison, David Levine, and Douglas C. Schmidt. </author> <title> The Design and Performance of a Real-time CORBA Object Event Service. </title> <booktitle> In Proceedings of OOPSLA \'97, </booktitle> <address> Atlanta, Georgia, </address> <month> October </month> <year> 1997. </year>"
145,http:##www.cs.wustl.edu#~schmidt#oopsla.ps.gz,"[HLS97] <author> Tim Harrison, David Levine, and Douglas C. Schmidt. </author> <title> The Design and Performance of a Real-time CORBA Object Event Service. </title> <booktitle> In Proceedings of OOPSLA \'97, </booktitle> <address> Atlanta, Georgia, </address> <month> October </month> <year> 1997. </year>"
